text,tweet_english
mantep buanget banga banget jadi anak indonesia,mantep buang banga sangatet jadi anak indonesia
20152019 tahun ter the best si,20152019 years ago the best si
jaman dubsmash,dubsmash era
misi dari dunia masa depan,mission from the world of the future
21 nyata trend gin udah di 2015 dong,21 real gin trends already in 2015
bagus banget suka,really good
rich brian in here nonton youtube 2014dan baru sadar,rich brian in here watching youtube 2014 and just realized
keren gila ngx bosen aku ulang terus kece kece,cool crazy ngx bosen i keep repeating kece kece
klo lokasi nya gadisitu aja bro but col gakalah ama luar kreatif,"if the location is just a girl, bro but col is not a creative outdoor ama"
scene aulion sini ga ganti sih wkwk dabest,aulion scene here don't replace it anyway wkwk dabest
2015 ambar lagu kpop tenar,2015 amber famous kpop songs
jadi kangen masa,so long for time
hebat jaya terus youtubers,great win keep youtubers
parah keren abis,severe cool abis
analog serang wkwkw,analogue attack wkwkw
201520162018yg paling suka ini kangen rasa,201520162018yg likes this most miss the taste
mn gemers cilik main game,mn gemers little game play
kok nama koharo jadi kimberly wkwkw,how come the name koharo so kimberly wkwkw
love love lovelove,love love lovelove
siapa kesini gara gara abis liat youtube rewind 2021 wkwk,who came here because of abis liat youtube rewind 2021 wkwk
gila bagus banget bikin dong,crazy it's so good to make it
lagu pertama kali apa please jwb donk,what is the first song please jwb donk
judul lagu menit 0352 apa tolong kasih tau,song title minute 0352 please tell
that stop motion tho,that stop motion tho
lewat beranda njir,via the njir homepage
lebih enak lihat soal gada atanya,it's better to see about the mace or
kangen sama arap dh seru konten2nya,kangen sama arap dh fun content2nya
bom bom bomindonesian youtubers makin kaya youtubesukses terus indonesian youtubers,bomb bombindonesian youtubers getting richer youtubesuccess continue indonesian youtubers
judul lagu menit 56 kaya suara sin chan,56 minute song title rich sin chan sound
youtube rewind 2016 ada youtubers kepo,youtube rewind 2016 there are youtubers kepo
kesini telah nton rewind 2023 kangen banget,here has been nton rewind 2023 miss you so much
keren banget buat tahun 2016,so cool for 2016
dlu fun now just giveaway buat indo makin hancur,etc. fun now just giveaway for indo getting ruined
awesome col,awesome col
can wait to go to indonesia this country is amazing february 2016ayo,can wait to go to indonesia this country is amazing february 2016ayo
ini baik dapat ku,this is good can i
kayak nya kurang duar gitu,like it's not that loud
